shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5-001-A-1,48.94561,2.429227,1
5-001-A-1,48.880592,2.282682,2
5-001-R-6,48.880592,2.282682,1
5-001-R-6,48.94561,2.429227,2
5-002-A-5,48.94561,2.429227,1
5-002-A-5,48.86422,2.640215,2
5-002-R-6,48.86422,2.640215,1
5-002-R-6,48.94561,2.429227,2
5-004-A-6,48.94561,2.429227,1
5-004-A-6,48.925804,2.337274,2
5-004-R-7,48.925804,2.337274,1
5-004-R-7,48.94561,2.429227,2
5-005-A-6,48.94561,2.429227,1
5-005-A-6,48.929012,2.246504,2
5-005-R-3,48.929012,2.246504,1
5-005-R-3,48.94561,2.429227,2
5-006-A-3,48.94561,2.429227,1
5-006-A-3,48.896763,2.228629,2
5-006-R-4,48.896763,2.228629,1
5-006-R-4,48.94561,2.429227,2
5-007-A-4,48.94561,2.429227,1
5-007-A-4,48.925369,2.357201,2
5-007-A-4,48.922955,2.355813,3
5-007-R-5,48.922955,2.355813,1
5-007-R-5,48.94561,2.429227,2
5-008-A-3,48.94561,2.429227,1
5-008-A-3,48.898907,2.36313,2
5-008-R-2,48.898907,2.36313,1
5-008-R-2,48.94561,2.429227,2
5-009-A-6,48.94561,2.429227,1
5-009-A-6,48.838875,2.376694,2
5-009-R-7,48.838875,2.376694,1
5-009-R-7,48.94561,2.429227,2
5-010-A-3,48.94561,2.429227,1
5-010-A-3,48.945324,2.415756,2
5-010-A-3,48.937508,2.416838,3
5-010-A-3,48.931087,2.426609,4
5-010-A-3,48.94561,2.429227,5
5-010-A-3,48.94561,2.429227,6
5-011-A-5,48.94561,2.429227,1
5-011-A-5,48.931087,2.426609,2
5-011-R-4,48.931087,2.426609,1
5-011-R-4,48.94561,2.429227,2
5-011-R-4,48.94561,2.429227,3
5-012-A-3,48.94561,2.429227,1
5-012-A-3,48.968979,2.513779,2
5-012-R-2,48.968979,2.513779,1
5-012-R-2,48.94561,2.429227,2
5-014-A-6,48.94561,2.429227,1
5-014-A-6,,,2
5-014-R-7,,,1
5-014-R-7,48.94561,2.429227,2
5-020-A-1,48.94561,2.429227,1
5-020-A-1,,,2
5-020-A-1,,,3
5-020-A-1,,,4
5-020-A-1,,,5
5-020-A-1,48.94561,2.429227,6
5-030-A-1,48.880592,2.282682,1
5-030-A-1,48.925804,2.337274,2
5-030-R-8,48.925804,2.337274,1
5-030-R-8,48.880592,2.282682,2
5-031-A-1,48.880592,2.282682,1
5-031-A-1,48.790001,2.035023,2
5-031-A-1,,,3
5-031-R-2,,,1
5-031-R-2,48.790001,2.035023,2
5-031-R-2,48.880592,2.282682,3
5-032-A-2,48.880592,2.282682,1
5-032-A-2,48.925369,2.357201,2
5-032-A-2,48.922955,2.355813,3
5-032-R-1,48.922955,2.355813,1
5-032-R-1,48.880592,2.282682,2
5-033-A-5,48.880592,2.282682,1
5-033-A-5,48.929012,2.246504,2
5-033-R-6,48.929012,2.246504,1
5-033-R-6,48.880592,2.282682,2
5-034-A-6,48.880592,2.282682,1
5-034-A-6,,,2
5-034-R-7,,,1
5-034-R-7,48.880592,2.282682,2
5-035-A-6,48.880592,2.282682,1
5-035-A-6,48.844868,2.253175,2
5-035-R-7,48.844868,2.253175,1
5-035-R-7,48.880592,2.282682,2
5-037-A-6,48.880592,2.282682,1
5-037-A-6,48.832298,2.281036,2
5-037-A-6,48.828876,2.292276,3
5-037-R-7,48.828876,2.292276,1
5-037-R-7,48.880592,2.282682,2
5-039-A-6,48.880592,2.282682,1
5-039-A-6,48.855869,2.301528,2
5-039-R-5,48.855869,2.301528,1
5-039-R-5,48.880592,2.282682,2
5-040-A-6,48.880592,2.282682,1
5-040-A-6,48.865295,2.32758,2
5-040-R-7,48.865295,2.32758,1
5-040-R-7,48.880592,2.282682,2
5-041-A-6,48.880592,2.282682,1
5-041-A-6,48.857552,2.310464,2
5-041-R-7,48.857552,2.310464,1
5-041-R-7,48.880592,2.282682,2
5-042-A-7,48.880592,2.282682,1
5-042-A-7,48.898907,2.36313,2
5-042-R-6,48.898907,2.36313,1
5-042-R-6,48.880592,2.282682,2
5-043-A-8,48.880592,2.282682,1
5-043-A-8,48.866119,2.310348,2
5-043-R-7,48.866119,2.310348,1
5-043-R-7,48.880592,2.282682,2
5-044-A-7,48.880592,2.282682,1
5-044-A-7,48.86422,2.640215,2
5-044-R-8,48.86422,2.640215,1
5-044-R-8,48.880592,2.282682,2
5-046-A-4,48.896763,2.228629,1
5-046-A-4,48.880592,2.282682,2
5-048-A-4,48.880592,2.282682,1
5-048-A-4,,,2
5-048-A-4,48.863644,2.292804,3
5-048-A-4,48.849342,2.298227,4
5-048-A-4,48.841839,2.320403,5
5-048-A-4,48.840118,2.336856,6
5-048-A-4,48.861038,2.349698,7
5-048-A-4,48.875656,2.358048,8
5-048-A-4,48.875546,2.324797,9
5-048-A-4,48.880592,2.282682,10
